r_R,alpha,inflow,a,a_prime,Ct,Cx,Cy,Cq,Cp
0.5762499999999999,-4.833702988535428,57.02120298853543,-0.27096668304163907,-0.0007775280239364156,-0.008363391253509576,-0.01303905194136943,0.0003039141630832038,7.86314559144603e-05,0.0004940560084838763
0.58375,-4.871008785850854,56.683508785850854,-0.2710349894488623,-0.0008537992024683439,-0.009787923660814123,-0.015413774542680777,-0.003199895562190332,-0.0008303139010494142,-0.005217016103420644
0.5912499999999999,-4.911043940278532,56.34854394027853,-0.27110848087517925,-0.0009324430589916371,-0.01132506467403079,-0.018005266307929882,-0.006937373095268311,-0.0018059486065546615,-0.011347109750225697
0.59875,-4.953802997144642,56.01630299714464,-0.2711872119233091,-0.0010133738231685938,-0.012975604756293344,-0.02081696260282407,-0.010904914508195057,-0.00284889260448392,-0.01790012015422595
0.60625,-4.999277082566927,55.68677708256693,-0.27127121896507794,-0.001096435510079497,-0.014740381101790384,-0.02385196128845514,-0.015098609233749175,-0.003959782693095928,-0.02488004843688435
0.61375,-5.0474556663139225,55.35995566631392,-0.27136069882306596,-0.0011815074707531585,-0.016627010489315096,-0.02712399308721857,-0.019518447200155414,-0.005140381537467706,-0.0322979697495143
0.62125,-5.098327964626826,55.035827964626826,-0.2714555354935143,-0.0012683858557289863,-0.018630380123353083,-0.030625758165007955,-0.024156522090271047,-0.00639048347837993,-0.04015259189713067
0.62875,-5.151882957059378,54.71438295705938,-0.2715557738639949,-0.0013569389973324805,-0.020751723100562405,-0.03435968880250083,-0.029008733581330968,-0.007710983069607444,-0.04844953552686804
0.63625,-5.208109405982327,54.39560940598233,-0.2716614698124056,-0.0014470550707991468,-0.02299257707843377,-0.038328250555541836,-0.034071056820642556,-0.0091029067596113,-0.05719525000461546
0.64375,-5.266995878680653,54.07949587868065,-0.27177268821158085,-0.0015386400950599022,-0.02535469510733951,-0.042533780393850716,-0.03933948399147572,-0.010567404925090507,-0.06639696336034587
0.65125,-5.32853077202509,53.76603077202509,-0.2718895035780689,-0.001631616968921402,-0.027840061131302603,-0.046978490188172545,-0.04481002836306501,-0.012105761808646072,-0.07606274472830077
0.65875,-5.392702529738706,53.455202529738706,-0.2720120316404193,-0.0017259076621336618,-0.0304509172548942,-0.05166448343818141,-0.050478746167610285,-0.01371941252290379,-0.08620161118704471
0.66625,-5.459499521941353,53.14699952194135,-0.2721404056530951,-0.0018214461731946119,-0.0331897786624831,-0.05659374930120362,-0.05634172663599354,-0.015409952631184927,-0.09682358795659454
0.67375,-5.528909400773344,52.841409400773344,-0.2722746141090748,-0.0019181079940299556,-0.036057231634356826,-0.061764360891085994,-0.06238337302821557,-0.01717592358313792,-0.10791951069481152
0.68125,-5.600920181721129,52.53842018172113,-0.2724147507113105,-0.002015821542545322,-0.03905522962151528,-0.06717600918326137,-0.06859417151882018,-0.019017646319418057,-0.11949139593130548
0.68875,-5.675519875147955,52.238019875147955,-0.27256102714925234,-0.0021147723207185307,-0.042190283146038274,-0.07283551093438105,-0.07498668104256095,-0.020941753950547398,-0.13158092072864946
0.69625,-5.752696529295193,51.94019652929519,-0.2727135969483803,-0.0022149740479082613,-0.04546626070988508,-0.07874440557976273,-0.08155714504466134,-0.022950639525779217,-0.14420312105875105
0.70375,-5.832438277488301,51.6449382774883,-0.2728726320003899,-0.0023164554299060784,-0.04888747006124252,-0.08490414001342836,-0.08830186040429636,-0.025046958555145757,-0.15737468198322785
0.7112499999999999,-5.914730903751391,51.35223090375139,-0.27303833057398913,-0.002419171946476513,-0.05245861288094933,-0.09131589854424015,-0.0952169569074157,-0.02723359801579107,-0.17111374291445358
0.71875,-5.999561991515691,51.06206199151569,-0.2732109080139352,-0.002523154544160357,-0.056185000756329685,-0.09798089616656297,-0.10229877715066267,-0.029513813168217776,-0.18544075725738932
0.72625,-6.086923530428763,50.77442353042876,-0.2733907276356154,-0.002628519612432572,-0.06007811806383469,-0.1049099970110228,-0.10953641510245088,-0.03188909204349406,-0.20036507458697936
0.73375,-6.176804568533342,50.48930456853334,-0.27357793059793717,-0.0027354378849046325,-0.0641393479717471,-0.1120951574810661,-0.11693377855108286,-0.03436559178725566,-0.2159253813902162
0.74125,-6.269194563346552,50.20669456334655,-0.2737728184190775,-0.002844023382976681,-0.06837610293912051,-0.11953740914079596,-0.1244875595467643,-0.03694785287396784,-0.23215020630954777
0.74875,-6.3640834724846655,49.926583472484666,-0.2739757300501568,-0.002954410474543951,-0.07279671000331406,-0.12723778297618393,-0.13219450546979608,-0.03964093949849983,-0.24907136861976906
0.75625,-6.4614466994866575,49.64894669948666,-0.2741868764517022,-0.0030663805160143862,-0.07740990063391312,-0.13519616938289516,-0.14005011193177785,-0.04245012870610027,-0.2667220249740516
0.7637499999999999,-6.561284262918761,49.37378426291876,-0.2744067820529578,-0.003180182119163484,-0.08222673322082089,-0.14341455112726373,-0.14803564687071977,-0.045376958995247116,-0.2851118420434272
0.77125,-6.663594330625465,49.101094330625465,-0.27463599092241664,-0.003296231923634983,-0.08725906306110816,-0.1518939778615427,-0.1561541851845624,-0.04843026387160563,-0.3042963223809028
0.77875,-6.768370027726185,48.830870027726185,-0.2748750433250369,-0.0034148703683866523,-0.09252004443882139,-0.16063509723760067,-0.16441332621985963,-0.05162124889825616,-0.3243458726157835
0.78625,-6.875605676604877,48.56310567660488,-0.2751245554331734,-0.003536373190471384,-0.09802475823354138,-0.16963886976087217,-0.17281045467618417,-0.0549590378296313,-0.34531781898786645
0.79375,-6.985274788516577,48.29777478851658,-0.27538490036165475,-0.003660570611840053,-0.10378941641768549,-0.17890464598512615,-0.1813411707867774,-0.05845338214355101,-0.36727343183931327
0.80125,-7.097386797293822,48.03488679729382,-0.2756567608323002,-0.0037875423809481754,-0.10982220444005421,-0.1884141122851546,-0.18994391890415,-0.06209665481617775,-0.39016478916601055
0.80875,-7.211950611670829,47.77445061167083,-0.2759414044899249,-0.00391838107039489,-0.11615503683601325,-0.19818518697934315,-0.19866744486287827,-0.06591828442918721,-0.41417679619995396
0.8162499999999999,-7.328967917427541,47.51646791742755,-0.2762399131048103,-0.004053648497939528,-0.12281520951429127,-0.20822212819527655,-0.20751912224368205,-0.06993661827165988,-0.43942473235832075
0.82375,-7.448439264222365,47.260939264222365,-0.2765534590307689,-0.00419378535133965,-0.12983202579928915,-0.2185260326908675,-0.21649712908050942,-0.07416931388926039,-0.4660195432725917
0.83125,-7.570355422102402,47.0078554221024,-0.2768829616650761,-0.004338470850332721,-0.1372239681674038,-0.229072206635737,-0.22554520217111396,-0.0786177962695021,-0.4939701824033737
0.83875,-7.6947486850286,46.7572486850286,-0.2772302222401808,-0.004489143481521132,-0.14503434042671504,-0.23986916190288798,-0.23467711053450618,-0.08331011463090639,-0.5234528881883581
0.84625,-7.821635837348708,46.50913583734871,-0.27759737324613465,-0.004647029414231602,-0.15332045483618906,-0.250937193483134,-0.24393196154531743,-0.08828775879652703,-0.5547283488741539
0.85375,-7.951039701613944,46.263539701613944,-0.27798662559519643,-0.004813152904747264,-0.16213724903908072,-0.2622788589798359,-0.2533100271641432,-0.09358379499968086,-0.5880043257321013
0.86125,-8.0829154475121,46.0204154475121,-0.27839928384430973,-0.004986619288082389,-0.17154088523878896,-0.2738820930063568,-0.2627458721050567,-0.09921268097165173,-0.6233716593669778
0.8687499999999999,-8.21737344869549,45.7798734486955,-0.27883960036679656,-0.0051705846007821625,-0.1816143591923067,-0.2857588796518011,-0.27227013123238925,-0.10523090525547564,-0.6611852777624116
0.87625,-8.35446645074581,45.54196645074581,-0.2793114449707921,-0.005367154861255647,-0.19245594967469712,-0.2979193672919996,-0.281921150540994,-0.11170852946178667,-0.7018853910009359
0.88375,-8.4942535626097,45.3067535626097,-0.2798193174794815,-0.0055783052352768835,-0.2041814449261418,-0.3103687109571456,-0.29170240519556456,-0.11871506024626374,-0.7459087222802637
0.89125,-8.636729274464294,45.074229274464294,-0.2803662012929938,-0.005802615011828405,-0.2168632903779958,-0.32300686248531296,-0.3014030125763093,-0.1262465344521874,-0.7932303703523252
0.8987499999999999,-8.782097294483385,44.844597294483385,-0.28096161252220253,-0.006047359943142567,-0.23074480941488087,-0.33594210609466424,-0.31123527921581196,-0.1344910123288027,-0.8450319526120417
0.90625,-8.930502061466008,44.61800206146601,-0.2816145093552303,-0.006316785647884052,-0.24605818052422487,-0.34919010462386557,-0.32121853866975836,-0.14358945322881747,-0.9021991427932563
0.91375,-9.082004906374841,44.39450490637484,-0.28233389308065693,-0.006611480775094859,-0.26305380590179184,-0.3626985453079671,-0.3311808387051335,-0.15363473211773399,-0.9653154915146178
0.9212499999999999,-9.236763170906592,44.1742631709066,-0.2831335821206078,-0.006936341925979808,-0.28212149087352717,-0.37648440085596974,-0.341154325988924,-0.16486011836224362,-1.0358466734335368
0.92875,-9.39533419940944,43.95783419940944,-0.2840369959084267,-0.007307286702682406,-0.3038408067737213,-0.39063814451038437,-0.3513314881026487,-0.17765825584163458,-1.1162597428033103
0.93625,-9.558208314885697,43.7457083148857,-0.2850701739736021,-0.007733539420932178,-0.3288710672341063,-0.4050825167060911,-0.3613650623435014,-0.1922729548010609,-1.2080866045740306
0.94375,-9.71945457742143,43.53195457742143,-0.28609654459952627,-0.00814407172094667,-0.35782106994385404,-0.41927842992745795,-0.3704850142239805,-0.2088762395175211,-1.3124081191554127
0.9512499999999999,-9.885010598501921,43.32251059850192,-0.2873050647307531,-0.008638195773789771,-0.39273620435761475,-0.4338638072101356,-0.3798194946842266,-0.22893778520373628,-1.438458528250352
0.95875,-10.05724601121522,43.11974601121522,-0.28871453657267987,-0.009225000172368599,-0.4318373754847719,-0.4444236818771255,-0.3857987945636682,-0.2515864911348134,-1.5807645445831269
0.96625,-10.23859896294696,42.92609896294696,-0.29033552873293517,-0.009911150136907477,-0.47275331976458573,-0.4457250555944591,-0.38429454031421817,-0.2756889128632127,-1.732204526654451
0.9737499999999999,-10.4337516868247,42.746251686824706,-0.2925927151843041,-0.010903628633088004,-0.5306120380401659,-0.4469291303356388,-0.3828935509478183,-0.3098574899878244,-1.946892028411044
0.98125,-10.653238330795219,42.59073833079522,-0.2960408407081683,-0.012476808863279728,-0.6209918039023429,-0.44796674016890947,-0.3816790780255589,-0.3634261404861353,-2.2834737861474697
0.98875,-10.928335970699592,42.49083597069959,-0.3023111837789303,-0.015451470212027677,-0.7915192085483174,-0.4486315640972365,-0.38089741216719636,-0.46511911879877027,-2.92242961332475
0.99625,-11.443067087342776,42.630567087342776,-0.3208665510572089,-0.024709505374124932,-1.342443189336353,-0.4477013104402577,-0.38199038669850843,-0.7987784840911611,-5.018873234932767
