r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
0.38125,0.5501275186960174,0.5100558903770681,0.5446926678945112,0.5447068831020283,0.5447068887759104,0.5447068887759104,
0.38875,0.5951122468775084,0.5527858393363086,0.5628650849938724,0.5628869442186503,0.5628869429328861,0.5628869429381886,0.5628869429328861
0.39625,0.5981914175039923,0.5558870684997854,0.5805670838612698,0.5805685768140638,0.5805685742731389,0.5805685742677076,0.5805685742731389
0.40375,0.6017550686196594,0.5594187114702079,0.5977478036999443,0.5977434788501146,0.5977434770999195,0.5977434770944188,0.5977434770999195
0.41125,0.6506194756117584,0.6057808369706211,0.6144434298154909,0.6144382180420126,0.6144382213646375,0.6144382213702648,0.6144382213646375
0.41874999999999996,0.6552129433909001,0.6102516499143421,0.6307352682965762,0.6306958646839492,0.6306956541392023,0.6306956541335212,0.6306956541392023
0.42625,0.6602889213117112,0.6151548198253889,0.646444783916585,0.6464510175495154,0.6464510237845194,0.6464510237903259,0.6464510237845194
0.43374999999999997,0.6658365039524887,0.6204813619076698,0.6617935404117566,0.6618034546175923,0.6618034575102573,0.6618034575043265,0.6618034575102573
0.44125000000000003,0.720020764929315,0.6718484773396165,0.6767357517761323,0.6767412402103259,0.6767412508331804,0.6767412508331804,
0.44875,0.7268020223543439,0.6782291188527511,0.6911902197240762,0.6912196591830474,0.6912196562391274,0.6912196562452223,0.6912196562391274
0.45625,0.7339780418566275,0.6850496315585756,0.7053195197425054,0.7053236475675216,0.7053236420939286,0.7053236421001465,0.7053236420939286
0.46375,0.7416624970798013,0.692329488829777,0.7191077944481383,0.7190597726919222,0.7190599678921296,0.7190599678984703,0.7190599678921296
0.47125,0.7498590135052597,0.7000723334511861,0.7324055177428094,0.7323706867290749,0.7323706065925004,0.7323706065861413,0.7323706065925004
0.47875,0.7585738305264791,0.7082840880662944,0.7452978428612226,0.7452962396269135,0.7452962380623414,0.7452962380688215,0.7452962380623414
0.48624999999999996,0.7678156868486392,0.716972857943313,0.7578566103951405,0.7578732602185627,0.7578732717969353,0.7578732717969353,
0.49375,0.7775957513334917,0.7261263674622179,0.7700817996443197,0.7701053279650393,0.7701053402209138,0.7701053402209138,
0.50125,0.7878443786988961,0.7356653440538296,0.7820170372257722,0.7819952157679924,0.7819953680117407,0.7819953680185803,0.7819953680117407
0.50875,0.7985747289447329,0.7457153214552352,0.7934983233352831,0.7934763790854805,0.7934763614776236,0.7934763614707928,0.7934763614776236
0.51625,0.8098871064971951,0.756292512209342,0.8046261211622107,0.8046127020468236,0.8046126935504361,0.804612693543488,0.8046126935504361
0.5237499999999999,0.821801965823336,0.7674153107665018,0.8154229973754612,0.8154174489314873,0.8154174458971234,0.8154174458900586,0.8154174458971234
0.53125,0.8343423466200369,0.7791043742944219,0.8258852324237336,0.8258913159027031,0.82589131936567,0.825891319358489,0.82589131936567
0.53875,0.8475339964250185,0.7913827286435859,0.8360089665061041,0.8360345081115675,0.8360345277056335,0.8360345277056335,
